symbol,raw_lattice_anchor_ts_utc,interval_code,sensitivity_mode,selection_status,selected_template_time_shift_days,effective_schedule_origin_ts_utc,extension_sequence_index,marker_set,marker_ratio,marker_code,marker_kind,expected_ts_utc,observed_candle_open_ts_utc,observed_price,marker_residual_hours,matched
XLM,2025-01-26T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-02-21T17:05:16Z,2025-02-21T00:00:00Z,0.33101,0.0,True
XLM,2025-01-26T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-02-28T23:28:19Z,2025-02-28T00:00:00Z,0.27785,0.0,True
XLM,2025-01-26T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-03-21T23:28:19Z,2025-03-21T00:00:00Z,0.265,0.0,True
XLM,2025-01-26T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-02-21T17:05:16Z,2025-02-21T00:00:00Z,0.33101,0.0,True
XLM,2025-01-26T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-02-28T23:28:19Z,2025-02-28T00:00:00Z,0.27785,0.0,True
XLM,2025-01-26T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-03-21T23:28:19Z,2025-03-21T00:00:00Z,0.265,0.0,True
XLM,2025-01-26T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-02-21T17:05:16Z,2025-02-21T00:00:00Z,0.33101,0.0,True
XLM,2025-01-26T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-02-28T23:28:19Z,2025-02-28T00:00:00Z,0.27785,0.0,True
XLM,2025-01-26T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,0.0,2025-01-26T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-03-21T23:28:19Z,2025-03-21T00:00:00Z,0.265,0.0,True
XLM,2025-02-16T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-7.0,2025-02-09T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-03-07T17:05:16Z,2025-03-07T00:00:00Z,0.27906,0.0,True
