policy_name,asset_id,symbol,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,equity_curve,drawdown
rejected_htf_1h,19,CRV,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.008756,8,0.18711,0.18775,0.0034204478648923184,0.002,0.0014204478648923184,0.8430451704517211,-0.17414112764951106
rejected_htf_1h,2,ETH,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,9,1766.59,1772.9,0.003571853118154282,0.002,0.0015718531181542822,0.8443703136316406,-0.17284299880585152
rejected_htf_1h,4,ADA,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,10,0.2123,0.21333,0.00485162505887896,0.002,0.00285162505887896,0.8467781411769661,-0.17048425717361904
rejected_htf_1h,7,HBAR,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,13,0.076066,0.075799,-0.00351010964162687,0.002,-0.005510109641626871,0.842112300776948,-0.17505497986604812
rejected_htf_1h,9,NEAR,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,15,1.013,1.0189,0.005824284304047401,0.002,0.003824284304047401,0.8453327776310545,-0.17190015557384775
rejected_htf_1h,10,PEPE,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,16,2.8958e-06,2.9019e-06,0.002106499067615252,0.002,0.00010649906761525186,0.8454228047836968,-0.17181196371252405
rejected_htf_1h,11,POL,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,17,0.079738,0.079503,-0.002947151922546328,0.002,-0.004947151922546328,0.8412403697296466,-0.17590913574847356
rejected_htf_1h,12,QNT,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,18,61.039,61.793,0.012352758072707576,0.002,0.010352758072707576,0.8499495277584527,-0.16737752240094905
rejected_htf_1h,13,SUI,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,19,0.75261,0.75548,0.0038133960484182236,0.002,0.0018133960484182235,0.8514908228734447,-0.1658676480902468
rejected_htf_1h,14,VET,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,20,0.0058239,0.0058244,8.585312247815039e-05,0.002,-0.0019141468775218497,0.8498609443736029,-0.16746429992709488
rejected_htf_1h,16,XLM,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,22,0.14626,0.14588,-0.002598112949541853,0.002,-0.004598112949541853,0.8459531877599689,-0.17129239311055589
rejected_htf_1h,18,CC,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,23,0.1285,0.1296,0.008560311284046614,0.002,0.006560311284046614,0.8515029040034058,-0.16585581324590382
rejected_htf_1h,20,FLOKI,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,24,2.4043e-05,2.4028e-05,-0.0006238822110385148,0.002,-0.002623882211038515,0.8492686606809436,-0.16804450933896908
rejected_htf_1h,21,HYPE,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,25,32.118,32.362,0.007596986113705703,0.002,0.005596986113705703,0.8540220055815804,-0.16338806601051803
rejected_htf_1h,23,LTC,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,26,46.384,46.6,0.004656778199379119,0.002,0.0026567781993791194,0.8562909526277995,-0.16116537366295436
rejected_htf_1h,24,ONDO,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,27,0.22828,0.22845,0.0007446994918520051,0.002,-0.001255300508147995,0.8552160501598433,-0.16221836319564742
rejected_htf_1h,27,XRP,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,29,1.15479,1.15439,-0.0003463833251066912,0.002,-0.002346383325106691,0.8532093854803846,-0.16418412005832572
rejected_htf_1h,28,ALGO,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,30,0.071719,0.07167,-0.0006832220192697523,0.002,-0.0026832220192697523,0.8509200352702161,-0.16642679963144047
rejected_htf_1h,29,DOT,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,31,1.0845,1.0825,-0.0018441678192715554,0.002,-0.0038441678192715554,0.8476489558538569,-0.16963119490330447
rejected_htf_1h,30,FET,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,32,0.20057,0.19949,-0.005384653736849966,0.002,-0.007384653736849966,0.8413893618244738,-0.1757631810028255
rejected_htf_1h,32,ICP,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,34,1.9552,1.9583,0.0015855155482814446,0.002,-0.0004144844517185555,0.8410406190161561,-0.17610481434883374
rejected_htf_1h,33,INJ,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,35,2.4949,2.4994,0.0018036795061927013,0.002,-0.0001963204938072987,0.8408755055065189,-0.17626656185852618
rejected_htf_1h,38,RENDER,2026-03-30 23:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,38,1.4705,1.4806,0.006868412104726282,0.002,0.004868412104726282,0.8449692339960946,-0.1722562880172106
rejected_htf_1h,8,HOT,2026-03-31 19:00:00,2026-03-31 20:00:00,REJECTED_HTF,AVOID,0.0,21,0.00034921,0.00034999,0.0022336130122275295,0.002,0.00023361301222752946,0.8451666298040881,-0.1720629163153018
rejected_htf_1h,20,FLOKI,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.040519,14,2.4025e-05,2.395e-05,-0.0031217481789803047,0.002,-0.005121748178980305,0.8408378991569541,-0.17630340156597413
rejected_htf_1h,7,HBAR,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.029306,15,0.075844,0.075393,-0.005946416328252638,0.002,-0.007946416328252638,0.8341562511456796,-0.18284883766529647
rejected_htf_1h,26,WLD,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.008959,16,0.23892,0.23728,-0.006864222333835605,0.002,-0.008864222333835605,0.8267621046743654,-0.19009224724858353
rejected_htf_1h,1,BTC,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,17,59041.0,58941.0,-0.0016937382496908927,0.002,-0.0036937382496908928,0.8237082618649347,-0.19308383449364264
rejected_htf_1h,3,SOL,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,18,71.644,71.579,-0.0009072636927029749,0.002,-0.002907263692702975,0.8213135247418353,-0.19542975256467443
rejected_htf_1h,4,ADA,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,19,0.20879,0.20775,-0.0049810814694190965,0.002,-0.006981081469419097,0.8155798681136768,-0.20104652300989112
